year,mean_enterococci,median_enterococci,n
1991,0,0,1
1992,0,0,1
1993,49.70548604427354,6,6234
1994,114.63583489681162,12,5330
1995,151.85724585436125,10,4161
1996,311.3471539002107,10,4269
1997,111.19274376417286,8,3969
1998,1112.9082125603638,18,3933
1999,229.2940145254149,18,3993
2000,127.59858621559961,8,3961
2001,74.57658811475525,2,3904
2002,56.67200203252045,2,3936
2003,122.13496143958949,2,3890
2004,107.32334101972529,2,3903
2005,80.62392730943961,2,3962
2006,75.37984886649926,2,3970
2007,91.04979979979943,2,3996
2008,63.4089677260402,2,4059
2009,31.868258178603007,2,3393
2010,73.59556868537622,2,3385
2011,43.16284680337746,2,3316
2012,38.627809890816074,6,3114
2013,42.09573488800229,2,3259
2014,24.821049344159825,3,3202
2015,54.87523393636814,3,3206
2016,51.50268589200043,3,3537
2017,30.509809417040792,3,3568
2018,31.04961723844668,3,3527
2019,38.504419731964404,3,3507
2020,43.95057034220633,3,3156
2021,62.36696198913913,4,3499
2022,62.397163120568344,4,3525
2023,42.27691438259421,2,3539
2024,61.86418776371329,4,3792
2025,89.72675367047295,6,1226
